[0.000s][0][[test]][ello love 2302]
[46.594s][2772][[test]][AI switching left]
[46.676s][2777][[test]][AI switching left]
[46.822s][2785][[test]][AI switching left]
[46.938s][2792][[test]][AI switching right]
[47.155s][2805][[test]][AI switching right]
[47.237s][2810][[test]][AI switching right]
[47.337s][2816][[test]][AI switching left]
[47.354s][2817][[test]][onObjectCollision at pair(1456, 999)]
[47.485s][2825][[test]][onObjectCollision at pair(1447, 999)]
[47.552s][2829][[test]][AI switching left]
[47.668s][2836][[test]][AI switching right]
[47.791s][2843][[test]][AI switching left]
[47.890s][2849][[test]][AI switching right]
[47.960s][2853][[test]][onObjectCollision at pair(932, 627)]
[48.071s][2860][[test]][AI switching left]
[48.204s][2868][[test]][onObjectCollision at pair(892, 630)]
[48.289s][2873][[test]][AI switching left]
[48.339s][2876][[test]][AI switching right]
[48.426s][2880][[test]][AI switching right]
[48.517s][2886][[test]][onObjectCollision at pair(892, 627)]
[48.633s][2893][[test]][AI switching right]
[48.823s][2904][[test]][AI switching left]
[48.906s][2909][[test]][AI switching left]
[49.040s][2917][[test]][AI switching left]
[49.161s][2924][[test]][AI switching right]
[49.378s][2937][[test]][AI switching right]
[49.457s][2942][[test]][AI switching right]
[49.475s][2943][[test]][onObjectCollision at pair(893, 627)]
[49.555s][2948][[test]][AI switching left]
[49.783s][2961][[test]][AI switching left]
[49.900s][2968][[test]][AI switching right]
[50.017s][2975][[test]][AI switching left]
[50.116s][2981][[test]][AI switching right]
[50.303s][2992][[test]][AI switching left]
[50.518s][3005][[test]][AI switching left]
[50.572s][3008][[test]][AI switching right]
[50.636s][3012][[test]][AI switching right]
[50.856s][3025][[test]][AI switching right]
[50.906s][3028][[test]][onObjectCollision at pair(1423, 1002)]
[50.981s][3033][[test]][onObjectCollision at pair(933, 633)]
[51.036s][3036][[test]][AI switching left]
[51.115s][3041][[test]][AI switching left]
[51.249s][3049][[test]][AI switching left]
[51.380s][3056][[test]][AI switching right]
